,Junction,Date,Hour,Vehicles,hour_of_the_day,day_of_the_week,month,PreviousHourVehicles,IsWeekend
29,1,2015-01-12,5,-0.5682612606690783,5,2,2,-0.4236818807438615,False
30,1,2015-01-12,6,-0.5682612606690783,6,2,2,-0.5682612606690783,False
31,1,2015-01-12,7,-0.5200681340273394,7,2,2,-0.5682612606690783,False
32,1,2015-01-12,8,-0.32729562746038354,8,2,2,-0.5200681340273394,False
33,1,2015-01-12,9,-0.08632999425168872,9,2,2,-0.32729562746038354,False
34,1,2015-01-12,10,0.347408145523962,10,2,2,-0.08632999425168872,False
35,1,2015-01-12,11,0.299215018882223,11,2,2,0.347408145523962,False
36,1,2015-01-12,12,0.25102189224048405,12,2,2,0.299215018882223,False
37,1,2015-01-12,13,0.39560127216570096,13,2,2,0.25102189224048405,False
38,1,2015-01-12,14,0.1546356389570061,14,2,2,0.39560127216570096,False
39,1,2015-01-12,15,0.299215018882223,15,2,2,0.1546356389570061,False
40,1,2015-01-12,16,0.10644251231526715,16,2,2,0.299215018882223,False
41,1,2015-01-12,17,0.10644251231526715,17,2,2,0.10644251231526715,False
42,1,2015-01-12,18,0.10644251231526715,18,2,2,0.10644251231526715,False
43,1,2015-01-12,19,0.20282876559874508,19,2,2,0.10644251231526715,False
44,1,2015-01-12,20,0.20282876559874508,20,2,2,0.20282876559874508,False
45,1,2015-01-12,21,0.347408145523962,21,2,2,0.20282876559874508,False
46,1,2015-01-12,22,0.058249385673528185,22,2,2,0.347408145523962,False
47,1,2015-01-12,23,0.1546356389570061,23,2,2,0.058249385673528185,False
48,1,2015-02-11,0,-0.4236818807438615,0,2,3,0.1546356389570061,False
49,1,2015-02-11,1,-0.5200681340273394,1,2,3,-0.4236818807438615,False
50,1,2015-02-11,2,-0.4236818807438615,2,2,3,-0.5200681340273394,False
51,1,2015-02-11,3,-0.5200681340273394,3,2,3,-0.4236818807438615,False
52,1,2015-02-11,4,-0.5200681340273394,4,2,3,-0.5200681340273394,False
53,1,2015-02-11,5,-0.5682612606690783,5,2,3,-0.5200681340273394,False
54,1,2015-02-11,6,-0.47187500738560045,6,2,3,-0.5682612606690783,False
55,1,2015-02-11,7,-0.4236818807438615,7,2,3,-0.47187500738560045,False
56,1,2015-02-11,8,-0.5200681340273394,8,2,3,-0.4236818807438615,False
57,1,2015-02-11,9,-0.03813686760994975,9,2,3,-0.5200681340273394,False
58,1,2015-02-11,10,0.4437943988074399,10,2,3,-0.03813686760994975,False
59,1,2015-02-11,11,0.39560127216570096,11,2,3,0.4437943988074399,False
60,1,2015-02-11,12,0.5883737787326568,12,2,3,0.39560127216570096,False
61,1,2015-02-11,13,0.1546356389570061,13,2,3,0.5883737787326568,False
62,1,2015-02-11,14,0.5401806520909178,14,2,3,0.1546356389570061,False
63,1,2015-02-11,15,0.347408145523962,15,2,3,0.5401806520909178,False
64,1,2015-02-11,16,0.20282876559874508,16,2,3,0.347408145523962,False
65,1,2015-02-11,17,0.20282876559874508,17,2,3,0.20282876559874508,False
66,1,2015-02-11,18,0.058249385673528185,18,2,3,0.20282876559874508,False
67,1,2015-02-11,19,0.1546356389570061,19,2,3,0.058249385673528185,False
68,1,2015-02-11,20,0.299215018882223,20,2,3,0.1546356389570061,False
69,1,2015-02-11,21,0.4437943988074399,21,2,3,0.299215018882223,False
70,1,2015-02-11,22,0.347408145523962,22,2,3,0.4437943988074399,False
71,1,2015-02-11,23,0.20282876559874508,23,2,3,0.347408145523962,False
72,1,2015-02-12,0,-0.08632999425168872,0,5,4,0.20282876559874508,False
73,1,2015-02-12,1,-0.18271624753516666,1,5,4,-0.08632999425168872,False
74,1,2015-02-12,2,-0.2309093741769056,2,5,4,-0.18271624753516666,False
75,1,2015-02-12,3,-0.3754887541021225,3,5,4,-0.2309093741769056,False
76,1,2015-02-12,4,-0.27910250081864457,4,5,4,-0.3754887541021225,False
77,1,2015-02-12,5,-0.47187500738560045,5,5,4,-0.27910250081864457,False
78,1,2015-02-12,6,-0.4236818807438615,6,5,4,-0.47187500738560045,False
79,1,2015-02-12,7,-0.32729562746038354,7,5,4,-0.4236818807438615,False
80,1,2015-02-12,8,-0.2309093741769056,8,5,4,-0.32729562746038354,False
81,1,2015-02-12,9,0.4437943988074399,9,5,4,-0.2309093741769056,False
82,1,2015-02-12,10,0.7811462852996127,10,5,4,0.4437943988074399,False
83,1,2015-02-12,11,0.7811462852996127,11,5,4,0.7811462852996127,False
84,1,2015-02-12,12,0.7329531586578737,12,5,4,0.7811462852996127,False
85,1,2015-02-12,13,0.4919875254491789,13,5,4,0.7329531586578737,False
86,1,2015-02-12,14,0.4919875254491789,14,5,4,0.4919875254491789,False
87,1,2015-02-12,15,0.347408145523962,15,5,4,0.4919875254491789,False
88,1,2015-02-12,16,0.299215018882223,16,5,4,0.347408145523962,False
89,1,2015-02-12,17,0.25102189224048405,17,5,4,0.299215018882223,False
90,1,2015-02-12,18,0.299215018882223,18,5,4,0.25102189224048405,False
91,1,2015-02-12,19,0.4437943988074399,19,5,4,0.299215018882223,False
92,1,2015-02-12,20,0.5883737787326568,20,5,4,0.4437943988074399,False
93,1,2015-02-12,21,0.5401806520909178,21,5,4,0.5883737787326568,False
94,1,2015-02-12,22,0.39560127216570096,22,5,4,0.5401806520909178,False
95,1,2015-02-12,23,0.20282876559874508,23,5,4,0.39560127216570096,False
96,1,2015-03-11,0,-0.08632999425168872,0,0,5,0.20282876559874508,False
97,1,2015-03-11,1,-0.2309093741769056,1,0,5,-0.08632999425168872,False
98,1,2015-03-11,2,-0.18271624753516666,2,0,5,-0.2309093741769056,False
99,1,2015-03-11,3,-0.47187500738560045,3,0,5,-0.18271624753516666,False
100,1,2015-03-11,4,-0.5682612606690783,4,0,5,-0.47187500738560045,False
101,1,2015-03-11,5,-0.5682612606690783,5,0,5,-0.5682612606690783,False
102,1,2015-03-11,6,-0.5682612606690783,6,0,5,-0.5682612606690783,False
103,1,2015-03-11,7,-0.4236818807438615,7,0,5,-0.5682612606690783,False
104,1,2015-03-11,8,-0.3754887541021225,8,0,5,-0.4236818807438615,False
105,1,2015-03-11,9,0.299215018882223,9,0,5,-0.3754887541021225,False
106,1,2015-03-11,10,0.4919875254491789,10,0,5,0.299215018882223,False
107,1,2015-03-11,11,0.4437943988074399,11,0,5,0.4919875254491789,False
108,1,2015-03-11,12,0.4437943988074399,12,0,5,0.4437943988074399,False
109,1,2015-03-11,13,0.299215018882223,13,0,5,0.4437943988074399,False
110,1,2015-03-11,14,0.20282876559874508,14,0,5,0.299215018882223,False
111,1,2015-03-11,15,0.1546356389570061,15,0,5,0.20282876559874508,False
112,1,2015-03-11,16,0.25102189224048405,16,0,5,0.1546356389570061,False
113,1,2015-03-11,17,0.1546356389570061,17,0,5,0.25102189224048405,False
114,1,2015-03-11,18,0.10644251231526715,18,0,5,0.1546356389570061,False
115,1,2015-03-11,19,0.299215018882223,19,0,5,0.10644251231526715,False
116,1,2015-03-11,20,0.1546356389570061,20,0,5,0.299215018882223,False
117,1,2015-03-11,21,0.058249385673528185,21,0,5,0.1546356389570061,False
118,1,2015-03-11,22,0.10644251231526715,22,0,5,0.058249385673528185,False
119,1,2015-03-11,23,-0.1345231208934277,23,0,5,0.10644251231526715,False
120,1,2015-03-12,0,0.010056259031789217,0,3,6,-0.1345231208934277,False
121,1,2015-03-12,1,-0.03813686760994975,1,3,6,0.010056259031789217,False
122,1,2015-03-12,2,-0.3754887541021225,2,3,6,-0.03813686760994975,False
123,1,2015-03-12,3,-0.27910250081864457,3,3,6,-0.3754887541021225,False
124,1,2015-03-12,4,-0.47187500738560045,4,3,6,-0.27910250081864457,False
125,1,2015-03-12,5,-0.5200681340273394,5,3,6,-0.47187500738560045,False
126,1,2015-03-12,6,-0.5200681340273394,6,3,6,-0.5200681340273394,False
127,1,2015-03-12,7,-0.3754887541021225,7,3,6,-0.5200681340273394,False
128,1,2015-03-12,8,-0.27910250081864457,8,3,6,-0.3754887541021225,False
129,1,2015-03-12,9,0.010056259031789217,9,3,6,-0.27910250081864457,False
130,1,2015-03-12,10,0.347408145523962,10,3,6,0.010056259031789217,False
131,1,2015-03-12,11,0.39560127216570096,11,3,6,0.347408145523962,False
132,1,2015-03-12,12,0.1546356389570061,12,3,6,0.39560127216570096,False
133,1,2015-03-12,13,0.058249385673528185,13,3,6,0.1546356389570061,False
134,1,2015-03-12,14,0.347408145523962,14,3,6,0.058249385673528185,False
135,1,2015-03-12,15,0.1546356389570061,15,3,6,0.347408145523962,False
136,1,2015-03-12,16,0.058249385673528185,16,3,6,0.1546356389570061,False
137,1,2015-03-12,17,0.25102189224048405,17,3,6,0.058249385673528185,False
138,1,2015-03-12,18,0.25102189224048405,18,3,6,0.25102189224048405,False
139,1,2015-03-12,19,0.39560127216570096,19,3,6,0.25102189224048405,False
140,1,2015-03-12,20,0.347408145523962,20,3,6,0.39560127216570096,False
141,1,2015-03-12,21,0.299215018882223,21,3,6,0.347408145523962,False
142,1,2015-03-12,22,0.25102189224048405,22,3,6,0.299215018882223,False
143,1,2015-03-12,23,-0.03813686760994975,23,3,6,0.25102189224048405,False
144,1,2015-04-11,0,-0.2309093741769056,0,5,7,-0.03813686760994975,False
145,1,2015-04-11,1,-0.2309093741769056,1,5,7,-0.2309093741769056,False
146,1,2015-04-11,2,-0.47187500738560045,2,5,7,-0.2309093741769056,False
147,1,2015-04-11,3,-0.47187500738560045,3,5,7,-0.47187500738560045,False
148,1,2015-04-11,4,-0.6164543873108174,4,5,7,-0.47187500738560045,False
149,1,2015-04-11,5,-0.5200681340273394,5,5,7,-0.6164543873108174,False
150,1,2015-04-11,6,-0.47187500738560045,6,5,7,-0.5200681340273394,False
151,1,2015-04-11,7,-0.5682612606690783,7,5,7,-0.47187500738560045,False
152,1,2015-04-11,8,-0.47187500738560045,8,5,7,-0.5682612606690783,False
153,1,2015-04-11,9,-0.03813686760994975,9,5,7,-0.47187500738560045,False
154,1,2015-04-11,10,0.1546356389570061,10,5,7,-0.03813686760994975,False
155,1,2015-04-11,11,0.20282876559874508,11,5,7,0.1546356389570061,False
156,1,2015-04-11,12,0.39560127216570096,12,5,7,0.20282876559874508,False
157,1,2015-04-11,13,0.058249385673528185,13,5,7,0.39560127216570096,False
158,1,2015-04-11,14,0.010056259031789217,14,5,7,0.058249385673528185,False
159,1,2015-04-11,15,0.1546356389570061,15,5,7,0.010056259031789217,False
160,1,2015-04-11,16,0.1546356389570061,16,5,7,0.1546356389570061,False
161,1,2015-04-11,17,0.058249385673528185,17,5,7,0.1546356389570061,False
162,1,2015-04-11,18,0.010056259031789217,18,5,7,0.058249385673528185,False
163,1,2015-04-11,19,0.10644251231526715,19,5,7,0.010056259031789217,False
164,1,2015-04-11,20,0.1546356389570061,20,5,7,0.10644251231526715,False
165,1,2015-04-11,21,0.058249385673528185,21,5,7,0.1546356389570061,False
166,1,2015-04-11,22,0.1546356389570061,22,5,7,0.058249385673528185,False
167,1,2015-04-11,23,0.058249385673528185,23,5,7,0.1546356389570061,False
168,1,2015-04-12,0,-0.18271624753516666,0,1,8,0.058249385673528185,False
169,1,2015-04-12,1,-0.18271624753516666,1,1,8,-0.18271624753516666,False
170,1,2015-04-12,2,-0.32729562746038354,2,1,8,-0.18271624753516666,False
171,1,2015-04-12,3,-0.4236818807438615,3,1,8,-0.32729562746038354,False
172,1,2015-04-12,4,-0.3754887541021225,4,1,8,-0.4236818807438615,False
173,1,2015-04-12,5,-0.4236818807438615,5,1,8,-0.3754887541021225,False
174,1,2015-04-12,6,-0.6164543873108174,6,1,8,-0.4236818807438615,False
175,1,2015-04-12,7,-0.5682612606690783,7,1,8,-0.6164543873108174,False
176,1,2015-04-12,8,-0.4236818807438615,8,1,8,-0.5682612606690783,False
177,1,2015-04-12,9,0.299215018882223,9,1,8,-0.4236818807438615,False
178,1,2015-04-12,10,0.39560127216570096,10,1,8,0.299215018882223,False
179,1,2015-04-12,11,0.4437943988074399,11,1,8,0.39560127216570096,False
180,1,2015-04-12,12,0.347408145523962,12,1,8,0.4437943988074399,False
181,1,2015-04-12,13,0.10644251231526715,13,1,8,0.347408145523962,False
182,1,2015-04-12,14,0.347408145523962,14,1,8,0.10644251231526715,False
183,1,2015-04-12,15,0.25102189224048405,15,1,8,0.347408145523962,False
184,1,2015-04-12,16,0.20282876559874508,16,1,8,0.25102189224048405,False
185,1,2015-04-12,17,0.1546356389570061,17,1,8,0.20282876559874508,False
186,1,2015-04-12,18,-0.03813686760994975,18,1,8,0.1546356389570061,False
187,1,2015-04-12,19,0.25102189224048405,19,1,8,-0.03813686760994975,False
188,1,2015-04-12,20,0.20282876559874508,20,1,8,0.25102189224048405,False
189,1,2015-04-12,21,0.010056259031789217,21,1,8,0.20282876559874508,False
190,1,2015-04-12,22,0.20282876559874508,22,1,8,0.010056259031789217,False
191,1,2015-04-12,23,-0.1345231208934277,23,1,8,0.20282876559874508,False
192,1,2015-05-11,0,-0.18271624753516666,0,4,9,-0.1345231208934277,False
193,1,2015-05-11,1,-0.1345231208934277,1,4,9,-0.18271624753516666,False
194,1,2015-05-11,2,-0.2309093741769056,2,4,9,-0.1345231208934277,False
195,1,2015-05-11,3,-0.47187500738560045,3,4,9,-0.2309093741769056,False
196,1,2015-05-11,4,-0.47187500738560045,4,4,9,-0.47187500738560045,False
197,1,2015-05-11,5,-0.6646475139525563,5,4,9,-0.47187500738560045,False
198,1,2015-05-11,6,-0.5200681340273394,6,4,9,-0.6646475139525563,False
199,1,2015-05-11,7,-0.5200681340273394,7,4,9,-0.5200681340273394,False
200,1,2015-05-11,8,-0.3754887541021225,8,4,9,-0.5200681340273394,False
201,1,2015-05-11,9,-0.32729562746038354,9,4,9,-0.3754887541021225,False
202,1,2015-05-11,10,0.010056259031789217,10,4,9,-0.32729562746038354,False
203,1,2015-05-11,11,0.058249385673528185,11,4,9,0.010056259031789217,False
204,1,2015-05-11,12,0.10644251231526715,12,4,9,0.058249385673528185,False
205,1,2015-05-11,13,0.058249385673528185,13,4,9,0.10644251231526715,False
206,1,2015-05-11,14,0.1546356389570061,14,4,9,0.058249385673528185,False
207,1,2015-05-11,15,-0.03813686760994975,15,4,9,0.1546356389570061,False
208,1,2015-05-11,16,-0.1345231208934277,16,4,9,-0.03813686760994975,False
209,1,2015-05-11,17,-0.1345231208934277,17,4,9,-0.1345231208934277,False
210,1,2015-05-11,18,-0.03813686760994975,18,4,9,-0.1345231208934277,False
211,1,2015-05-11,19,0.1546356389570061,19,4,9,-0.03813686760994975,False
212,1,2015-05-11,20,-0.03813686760994975,20,4,9,0.1546356389570061,False
213,1,2015-05-11,21,-0.08632999425168872,21,4,9,-0.03813686760994975,False
214,1,2015-05-11,22,-0.08632999425168872,22,4,9,-0.08632999425168872,False
215,1,2015-05-11,23,-0.08632999425168872,23,4,9,-0.08632999425168872,False
216,1,2015-05-12,0,-0.2309093741769056,0,6,10,-0.08632999425168872,True
217,1,2015-05-12,1,-0.18271624753516666,1,6,10,-0.2309093741769056,True
218,1,2015-05-12,2,-0.3754887541021225,2,6,10,-0.18271624753516666,True
219,1,2015-05-12,3,-0.5200681340273394,3,6,10,-0.3754887541021225,True
220,1,2015-05-12,4,-0.3754887541021225,4,6,10,-0.5200681340273394,True
221,1,2015-05-12,5,-0.7610337672360342,5,6,10,-0.3754887541021225,True
222,1,2015-05-12,6,-0.6164543873108174,6,6,10,-0.7610337672360342,True
223,1,2015-05-12,7,-0.5682612606690783,7,6,10,-0.6164543873108174,True
224,1,2015-05-12,8,-0.47187500738560045,8,6,10,-0.5682612606690783,True
225,1,2015-05-12,9,-0.47187500738560045,9,6,10,-0.47187500738560045,True
226,1,2015-05-12,10,-0.18271624753516666,10,6,10,-0.47187500738560045,True
227,1,2015-05-12,11,-0.27910250081864457,11,6,10,-0.18271624753516666,True
228,1,2015-05-12,12,-0.1345231208934277,12,6,10,-0.27910250081864457,True
229,1,2015-05-12,13,-0.3754887541021225,13,6,10,-0.1345231208934277,True
230,1,2015-05-12,14,-0.27910250081864457,14,6,10,-0.3754887541021225,True
231,1,2015-05-12,15,-0.27910250081864457,15,6,10,-0.27910250081864457,True
232,1,2015-05-12,16,-0.32729562746038354,16,6,10,-0.27910250081864457,True
233,1,2015-05-12,17,-0.27910250081864457,17,6,10,-0.32729562746038354,True
234,1,2015-05-12,18,-0.32729562746038354,18,6,10,-0.27910250081864457,True
235,1,2015-05-12,19,-0.08632999425168872,19,6,10,-0.32729562746038354,True
236,1,2015-05-12,20,-0.18271624753516666,20,6,10,-0.08632999425168872,True
237,1,2015-05-12,21,-0.1345231208934277,21,6,10,-0.18271624753516666,True
238,1,2015-05-12,22,-0.1345231208934277,22,6,10,-0.1345231208934277,True
239,1,2015-05-12,23,-0.08632999425168872,23,6,10,-0.1345231208934277,True
240,1,2015-06-11,0,-0.32729562746038354,0,2,11,-0.08632999425168872,False
241,1,2015-06-11,1,-0.2309093741769056,1,2,11,-0.32729562746038354,False
242,1,2015-06-11,2,-0.18271624753516666,2,2,11,-0.2309093741769056,False
243,1,2015-06-11,3,-0.4236818807438615,3,2,11,-0.18271624753516666,False
244,1,2015-06-11,4,-0.5200681340273394,4,2,11,-0.4236818807438615,False
245,1,2015-06-11,5,-0.47187500738560045,5,2,11,-0.5200681340273394,False
246,1,2015-06-11,6,-0.4236818807438615,6,2,11,-0.47187500738560045,False
247,1,2015-06-11,7,-0.4236818807438615,7,2,11,-0.4236818807438615,False
248,1,2015-06-11,8,-0.47187500738560045,8,2,11,-0.4236818807438615,False
249,1,2015-06-11,9,-0.1345231208934277,9,2,11,-0.47187500738560045,False
250,1,2015-06-11,10,-0.03813686760994975,10,2,11,-0.1345231208934277,False
251,1,2015-06-11,11,0.1546356389570061,11,2,11,-0.03813686760994975,False
252,1,2015-06-11,12,0.1546356389570061,12,2,11,0.1546356389570061,False
253,1,2015-06-11,13,-0.08632999425168872,13,2,11,0.1546356389570061,False
254,1,2015-06-11,14,0.010056259031789217,14,2,11,-0.08632999425168872,False
255,1,2015-06-11,15,0.010056259031789217,15,2,11,0.010056259031789217,False
256,1,2015-06-11,16,-0.18271624753516666,16,2,11,0.010056259031789217,False
257,1,2015-06-11,17,-0.18271624753516666,17,2,11,-0.18271624753516666,False
258,1,2015-06-11,18,-0.1345231208934277,18,2,11,-0.18271624753516666,False
259,1,2015-06-11,19,0.058249385673528185,19,2,11,-0.1345231208934277,False
260,1,2015-06-11,20,-0.2309093741769056,20,2,11,0.058249385673528185,False
261,1,2015-06-11,21,-0.18271624753516666,21,2,11,-0.2309093741769056,False
262,1,2015-06-11,22,-0.32729562746038354,22,2,11,-0.18271624753516666,False
263,1,2015-06-11,23,-0.27910250081864457,23,2,11,-0.32729562746038354,False
264,1,2015-06-12,0,-0.4236818807438615,0,4,12,-0.27910250081864457,False
265,1,2015-06-12,1,-0.4236818807438615,1,4,12,-0.4236818807438615,False
266,1,2015-06-12,2,-0.5200681340273394,2,4,12,-0.4236818807438615,False
267,1,2015-06-12,3,-0.5200681340273394,3,4,12,-0.5200681340273394,False
268,1,2015-06-12,4,-0.6164543873108174,4,4,12,-0.5200681340273394,False
269,1,2015-06-12,5,-0.7128406405942953,5,4,12,-0.6164543873108174,False
270,1,2015-06-12,6,-0.7128406405942953,6,4,12,-0.7128406405942953,False
271,1,2015-06-12,7,-0.5200681340273394,7,4,12,-0.7128406405942953,False
272,1,2015-06-12,8,-0.5682612606690783,8,4,12,-0.5200681340273394,False
273,1,2015-06-12,9,-0.4236818807438615,9,4,12,-0.5682612606690783,False
274,1,2015-06-12,10,-0.27910250081864457,10,4,12,-0.4236818807438615,False
275,1,2015-06-12,11,-0.27910250081864457,11,4,12,-0.27910250081864457,False
276,1,2015-06-12,12,-0.18271624753516666,12,4,12,-0.27910250081864457,False
277,1,2015-06-12,13,-0.27910250081864457,13,4,12,-0.18271624753516666,False
278,1,2015-06-12,14,-0.47187500738560045,14,4,12,-0.27910250081864457,False
279,1,2015-06-12,15,-0.32729562746038354,15,4,12,-0.47187500738560045,False
280,1,2015-06-12,16,-0.6164543873108174,16,4,12,-0.32729562746038354,False
281,1,2015-06-12,17,-0.2309093741769056,17,4,12,-0.6164543873108174,False
282,1,2015-06-12,18,-0.18271624753516666,18,4,12,-0.2309093741769056,False
283,1,2015-06-12,19,-0.1345231208934277,19,4,12,-0.18271624753516666,False
284,1,2015-06-12,20,-0.08632999425168872,20,4,12,-0.1345231208934277,False
285,1,2015-06-12,21,-0.3754887541021225,21,4,12,-0.08632999425168872,False
286,1,2015-06-12,22,-0.08632999425168872,22,4,12,-0.3754887541021225,False
287,1,2015-06-12,23,-0.18271624753516666,23,4,12,-0.08632999425168872,False
288,1,2015-07-11,0,-0.32729562746038354,0,4,11,-0.18271624753516666,False
289,1,2015-07-11,1,-0.32729562746038354,1,4,11,-0.32729562746038354,False
290,1,2015-07-11,2,-0.6164543873108174,2,4,11,-0.32729562746038354,False
291,1,2015-07-11,3,-0.6646475139525563,3,4,11,-0.6164543873108174,False
292,1,2015-07-11,4,-0.7128406405942953,4,4,11,-0.6646475139525563,False
293,1,2015-07-11,5,-0.7610337672360342,5,4,11,-0.7128406405942953,False
294,1,2015-07-11,6,-0.6646475139525563,6,4,11,-0.7610337672360342,False
295,1,2015-07-11,7,-0.7128406405942953,7,4,11,-0.6646475139525563,False
296,1,2015-07-11,8,-0.5200681340273394,8,4,11,-0.7128406405942953,False
297,1,2015-07-11,9,-0.47187500738560045,9,4,11,-0.5200681340273394,False
298,1,2015-07-11,10,-0.27910250081864457,10,4,11,-0.47187500738560045,False
299,1,2015-07-11,11,-0.4236818807438615,11,4,11,-0.27910250081864457,False
300,1,2015-07-11,12,-0.4236818807438615,12,4,11,-0.4236818807438615,False
301,1,2015-07-11,13,-0.4236818807438615,13,4,11,-0.4236818807438615,False
302,1,2015-07-11,14,-0.4236818807438615,14,4,11,-0.4236818807438615,False
303,1,2015-07-11,15,-0.5682612606690783,15,4,11,-0.4236818807438615,False
304,1,2015-07-11,16,-0.3754887541021225,16,4,11,-0.5682612606690783,False
305,1,2015-07-11,17,-0.47187500738560045,17,4,11,-0.3754887541021225,False
306,1,2015-07-11,18,-0.5200681340273394,18,4,11,-0.47187500738560045,False
307,1,2015-07-11,19,-0.27910250081864457,19,4,11,-0.5200681340273394,False
308,1,2015-07-11,20,-0.2309093741769056,20,4,11,-0.27910250081864457,False
309,1,2015-07-11,21,-0.27910250081864457,21,4,11,-0.2309093741769056,False
310,1,2015-07-11,22,-0.32729562746038354,22,4,11,-0.27910250081864457,False
311,1,2015-07-11,23,-0.3754887541021225,23,4,11,-0.32729562746038354,False
312,1,2015-07-12,0,-0.18271624753516666,0,5,11,-0.3754887541021225,False
313,1,2015-07-12,1,-0.3754887541021225,1,5,11,-0.18271624753516666,False
314,1,2015-07-12,2,-0.47187500738560045,2,5,11,-0.3754887541021225,False
315,1,2015-07-12,3,-0.5682612606690783,3,5,11,-0.47187500738560045,False
316,1,2015-07-12,4,-0.6164543873108174,4,5,11,-0.5682612606690783,False
317,1,2015-07-12,5,-0.6646475139525563,5,5,11,-0.6164543873108174,False
318,1,2015-07-12,6,-0.6164543873108174,6,5,11,-0.6646475139525563,False
319,1,2015-07-12,7,-0.47187500738560045,7,5,11,-0.6164543873108174,False
320,1,2015-07-12,8,-0.1345231208934277,8,5,11,-0.47187500738560045,False
321,1,2015-07-12,9,0.058249385673528185,9,5,11,-0.1345231208934277,False
322,1,2015-07-12,10,0.1546356389570061,10,5,11,0.058249385673528185,False
323,1,2015-07-12,11,0.4437943988074399,11,5,11,0.1546356389570061,False
324,1,2015-07-12,12,0.299215018882223,12,5,11,0.4437943988074399,False
325,1,2015-07-12,13,0.10644251231526715,13,5,11,0.299215018882223,False
326,1,2015-07-12,14,0.25102189224048405,14,5,11,0.10644251231526715,False
327,1,2015-07-12,15,0.20282876559874508,15,5,11,0.25102189224048405,False
328,1,2015-07-12,16,-0.03813686760994975,16,5,11,0.20282876559874508,False
329,1,2015-07-12,17,0.10644251231526715,17,5,11,-0.03813686760994975,False
330,1,2015-07-12,18,0.058249385673528185,18,5,11,0.10644251231526715,False
331,1,2015-07-12,19,0.5401806520909178,19,5,11,0.058249385673528185,False
332,1,2015-07-12,20,0.347408145523962,20,5,11,0.5401806520909178,False
333,1,2015-07-12,21,0.25102189224048405,21,5,11,0.347408145523962,False
334,1,2015-07-12,22,0.1546356389570061,22,5,11,0.25102189224048405,False
335,1,2015-07-12,23,0.20282876559874508,23,5,11,0.1546356389570061,False
336,1,2015-08-11,0,-0.47187500738560045,0,6,11,0.20282876559874508,True
337,1,2015-08-11,1,-0.32729562746038354,1,6,11,-0.47187500738560045,True
338,1,2015-08-11,2,-0.5682612606690783,2,6,11,-0.32729562746038354,True
339,1,2015-08-11,3,-0.7128406405942953,3,6,11,-0.5682612606690783,True
340,1,2015-08-11,4,-0.6164543873108174,4,6,11,-0.7128406405942953,True
341,1,2015-08-11,5,-0.6164543873108174,5,6,11,-0.6164543873108174,True
342,1,2015-08-11,6,-0.6164543873108174,6,6,11,-0.6164543873108174,True
343,1,2015-08-11,7,-0.6646475139525563,7,6,11,-0.6164543873108174,True
344,1,2015-08-11,8,-0.5682612606690783,8,6,11,-0.6646475139525563,True
345,1,2015-08-11,9,-0.5200681340273394,9,6,11,-0.5682612606690783,True
